QTY,Item,Price,Link
5,Custom Blue LF HASL PCB,$9.40,
2,1.5KE15CA,$0.34,https://www.digikey.co.uk/en/products/detail/stmicroelectronics/1-5KE15CA/1037261
1,1N4007,$0.10,https://www.digikey.co.uk/en/products/detail/diotec-semiconductor/1N4007/18833652
1,MFR-25FBF52-1K8,$0.10,https://www.digikey.co.uk/en/products/detail/yageo/MFR-25FBF52-1K8/9138063
1,CFR-12JB-52-3K3,$0.10,https://www.digikey.co.uk/en/products/detail/yageo/CFR-12JB-52-3K3/3989
2,MFR-25FBF52-100R,$0.10,https://www.digikey.co.uk/en/products/detail/yageo/MFR-25FBF52-100R/12795
1,MFR-25FBF52-120R,$0.10,https://www.digikey.co.uk/en/products/detail/yageo/MFR-25FTE52-120R/9139747
1,2N3904,$0.14,https://www.digikey.co.uk/en/products/detail/diotec-semiconductor/2N3904/13164701
3,WS281B,$0.68,https://www.digikey.co.uk/en/products/detail/sparkfun-electronics/16347/11630204
1,MAX485ECSA+,$5.88,https://www.digikey.co.uk/en/products/detail/analog-devices-inc-maxim-integrated/MAX485ECSA/1495336
1,IO-XLR3-F-EH,$2.63,https://www.digikey.co.uk/en/products/detail/io-audio-technologies/IO-XLR3-F-EH/9931888
1,IO-XLR3-M-EH,$2.55,https://www.digikey.co.uk/en/products/detail/io-audio-technologies/IO-XLR3-M-EH/9931887
1,XIAO ESP-32-C3,$4.99,https://www.digikey.co.uk/en/products/detail/seeed-technology-co-ltd/113991054/16652880
1,2.4Ghz Atenna,$2.20,https://www.digikey.co.uk/en/products/detail/seeed-technology-co-ltd/103990623/18724506
1,Headers,$0.24,https://www.digikey.co.uk/en/products/detail/seeed-technology-co-ltd/102010490/19176770
1,OLED DISPLAY,$5.35,https://www.aliexpress.com/item/1005008988479159.html?spm=a2g0o.detail.0.0.3f8dP1SHP1SHRr&mp=1&pdp_npi=5%40dis%21USD%21USD%205.35%21USD%202.62%21%21USD%202.62%21%21%21%40211b628117536181461324433e3141%2112000047475624684%21ct%21UK%21-1%21%211%210
1,Case,$4.50,
1,10g Flux,$3.32,https://www.aliexpress.com/item/1005008562727265.html?spm=a2g0o.detail.0.0.1891tDgOtDgOiD&mp=1&pdp_npi=5%40dis%21USD%21USD%203.32%21USD%200.99%21%21USD%200.99%21%21%21%40211b628117536181317473986e3141%2112000045736601174%21ct%21UK%21-1%21%211%210
1,50g Solder,$10.89,https://www.aliexpress.com/item/1005007330449968.html?spm=a2g0o.detail.0.0.d802qv9rqv9rOF&mp=1&pdp_npi=5%40dis%21USD%21USD%2010.89%21USD%205.44%21%21USD%205.44%21%21%21%40211b628117536180518621644e3141%2112000040294388218%21ct%21UK%21-1%21%211%210
1,M3 Heatset Inserts,$2.03,https://www.aliexpress.com/item/1005003582355741.html?spm=a2g0o.detail.0.0.330ciNNZiNNZhx&mp=1&pdp_npi=5%40dis%21USD%21USD%202.03%21USD%202.03%21%21USD%202.03%21%21%21%40211b628117536180843722706e3141%2112000026370649756%21ct%21UK%21-1%21%211%210
1,M3x14mm Screws,$2.94,https://www.aliexpress.com/item/32867841097.html?spm=a2g0o.cart.0.0.5a5b38dafIVPIo&mp=1&pdp_npi=5%40dis%21USD%21USD%202.94%21USD%202.65%21%21USD%202.65%21%21%21%402103892f17536178038338142eac37%2165441947149%21ct%21UK%21-1%21%211%210
