"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U2";"XIAO-ESP32C3-DIP";1;"XIAO-ESP32-C3-DIP";;;
2;"Q1";"TO-92_Inline";1;"2N3904";;;
3;"J1";"Jack_XLR_Neutrik_NC3MAAH_Horizontal";1;"XLR3 IN";;;
4;"R4,R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100Ω";;;
5;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"3.3kΩ";;;
6;"J2";"SSD1306-0.91-OLED-4pin-128x32";1;"Conn_01x04";;;
7;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.8kΩ";;;
8;"D3,D2";"D_DO-201AE_P15.24mm_Horizontal";2;"1.5KExxCA";;;
9;"D6";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"Light Control";;;
10;"D4";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"DMX Status";;;
11;"J3";"Jack_XLR_Neutrik_NC3FAH2_Horizontal";1;"XLR3 OUT";;;
12;"D1";"D_DO-34_SOD68_P10.16mm_Horizontal";1;"D";;;
13;"U1";"DIP-8_W7.62mm";1;"MAX485E";;;
14;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"120Ω";;;
15;"D5";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";1;"WiFi Status";;;
