Comment,Designator,Footprint,JLCPCB Part#(optional)
100Ω,"R4, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C6300650
1.5KExxCA,"D2, D3",D_DO-201AE_P15.24mm_Horizontal,C172391
120Ω,R3,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C172969
2N3904,Q1,TO-92_Inline,C118538
MAX485E,U1,"DIP-8_W7.62mm
",C481665
1.8kΩ,R2,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C172980
3.3kΩ,R1,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,C3574741
Light Control,D6,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C22371521
WiFi Status,D5,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C22371521
DMX Status,D4,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,C22371521
D,D1,D_DO-34_SOD68_P10.16mm_Horizontal,C19357
XLR3 IN,J1,Jack_XLR_Neutrik_NC3MAAH_Horizontal,C368463
XLR3 OUT,J3,Jack_XLR_Neutrik_NC3FAH2_Horizontal,C368522
